wavelength_nm,WT_absorption_m2_mgChla,Olive_absorption_m2_mgChla,PAL_absorption_m2_mgChla
396,0.021715000000000012,0.019,0.0211
397,0.02201800000000001,0.0194,0.0216
398,0.022321000000000008,0.0198,0.022
399,0.0194199463232682,0.0202,0.0224
400,0.019643414803138012,0.0205,0.023
401,0.01988500311056845,0.0207,0.0237
402,0.02014259773534639,0.021,0.0245
403,0.020407751681653326,0.0214,0.025
404,0.020691547570821773,0.0219,0.0254
405,0.021009352045340463,0.0223,0.0258
406,0.021385058231426043,0.0227,0.0261
407,0.021821372569114733,0.0232,0.0264
408,0.022306536025899912,0.0237,0.0267
409,0.022814127075776097,0.0241,0.0271
410,0.023332280212595737,0.0246,0.0275
411,0.023911270185059903,0.0251,0.0281
412,0.024524458774410226,0.0256,0.0287
413,0.025110889286892906,0.0262,0.0294
414,0.025602468949979015,0.0268,0.0302
415,0.026019534136545234,0.0275,0.0309
416,0.026390743555678838,0.0282,0.0315
417,0.026704350897794528,0.0288,0.0322
418,0.026949394403032727,0.0293,0.0329
419,0.02713495997352153,0.0298,0.0336
420,0.027275244357110675,0.0302,0.0343
421,0.027389830136624518,0.0306,0.0348
422,0.02748737455973577,0.0309,0.0353
423,0.027581535490012226,0.0312,0.0358
424,0.027682856355698292,0.0315,0.0362
425,0.027798675444094225,0.0318,0.0367
426,0.02794570857279178,0.032,0.0371
427,0.02812857893360374,0.0323,0.0375
428,0.028367715188888174,0.0327,0.0379
429,0.02865983430106964,0.0331,0.0384
430,0.029009321319792943,0.0335,0.0389
431,0.029409458539877212,0.0339,0.0394
432,0.029859428063449784,0.0343,0.04
433,0.030361906192915008,0.0347,0.0405
434,0.030938131038851974,0.0352,0.0411
435,0.031520663800144004,0.0357,0.0416
436,0.03203736876529102,0.0363,0.0421
437,0.032390097872141574,0.0367,0.0425
438,0.03261931799831936,0.0371,0.0428
439,0.032725530380828004,0.0374,0.0431
440,0.0327468269017264,0.0375,0.0431
441,0.03265741732351254,0.0376,0.0431
442,0.032459629950702965,0.0376,0.043
443,0.03211494164050543,0.0374,0.0427
444,0.031615335091002145,0.0371,0.0424
445,0.030969077466264566,0.0367,0.042
446,0.03014961971953604,0.0362,0.0415
447,0.029138444497949754,0.0355,0.041
448,0.028020670003179655,0.0347,0.0403
449,0.026907279920114956,0.0339,0.0396
450,0.025843807504045944,0.0331,0.0389
451,0.02481123266219943,0.0323,0.0383
452,0.023852338064212487,0.0314,0.0376
453,0.023003098349308776,0.0305,0.0368
454,0.02219832831252885,0.0296,0.036
455,0.021430643427691472,0.029,0.0353
456,0.020742649199532052,0.0284,0.0347
457,0.020204688692059547,0.0279,0.0342
458,0.019762351373513065,0.0274,0.0337
459,0.01936695237053128,0.027,0.0332
460,0.019015826897852164,0.0266,0.0328
461,0.018716091717530574,0.0263,0.0324
462,0.01847565379869418,0.0259,0.0321
463,0.018271559236995537,0.0256,0.0318
464,0.018091482150161688,0.0254,0.0315
465,0.0179203696005471,0.0252,0.0313
466,0.017754649525661685,0.025,0.031
467,0.017574,0.0248,0.0308
468,0.017372,0.0246,0.0305
469,0.01717,0.0244,0.0303
470,0.016968,0.0241,0.03
471,0.016867,0.0239,0.0298
472,0.016766,0.0236,0.0295
473,0.016564000000000002,0.0234,0.0293
474,0.016463,0.0232,0.029
475,0.016261,0.023,0.0288
476,0.016059,0.0228,0.0285
477,0.015958000000000003,0.0225,0.0282
478,0.015756,0.0223,0.0279
479,0.015554,0.0221,0.0276
480,0.015453,0.0219,0.0274
481,0.015352,0.0217,0.0272
482,0.01515,0.0216,0.0269
483,0.015049,0.0215,0.0268
484,0.014948000000000001,0.0213,0.0266
485,0.014846999999999999,0.0212,0.0264
486,0.014846999999999999,0.0211,0.0262
487,0.014746,0.021,0.0261
488,0.014746,0.021,0.026
489,0.014645,0.0209,0.0258
490,0.014645,0.0209,0.0257
491,0.014544,0.0208,0.0256
492,0.014443000000000001,0.0207,0.0255
493,0.014443000000000001,0.0206,0.0254
494,0.014342,0.0205,0.0252
495,0.014241,0.0203,0.025
496,0.01414,0.0201,0.0249
497,0.014039,0.0199,0.0247
498,0.013938,0.0197,0.0245
